model;avg_battle_duration;avg_prompt;avg_req;max_req;min_req;num_req;attempts;num_attempts;total_faulty_message;total_internal_attack_attempts;total_internal_wrong_attack;total_success_attacks;percentage_success_attacks;total_internal_wrong_movements;total_internal_movement_attempts;total_success_movements;percentage_success_movements;num_failed_movements;avg_movements;avg_enemy;avg_ally;avg_target;avg_wave
gpt-4.1;492.00;4300.85;1806.73;3983.00;1197.33;66.67;1.00;66.67;0.00;37.00;2.33;-34.67;-0.94;0.33;40.33;40.00;0.99;2.33;40.33;4.33;0.00;0.33;30.00
gpt-4.1-mini;492.00;4300.85;1806.73;3983.00;1197.33;66.67;1.00;66.67;0.00;37.00;2.33;-34.67;-0.94;0.33;40.33;40.00;0.99;2.33;40.33;4.33;0.00;0.33;30.00
gemini-2.5-flash-lite;485.00;4291.38;792.84;3847.00;410.00;99.33;1.00;99.33;0.00;23.33;15.00;-8.33;-0.36;4.00;90.00;86.00;0.96;15.00;90.00;7.00;0.00;1.00;0.33
claude-haiku-4-5-20251001;374.33;4292.29;2221.11;5431.33;1370.67;57.00;1.01;56.33;0.67;23.00;9.00;-14.00;-0.61;3.00;44.33;41.33;0.93;9.00;44.33;6.00;0.00;0.33;7.67
ministral-3b-2512;727.67;4281.14;585.89;3156.33;365.00;152.33;1.00;152.33;0.67;114.33;106.00;-8.33;-0.07;14.33;145.33;131.00;0.90;106.00;145.33;5.67;0.33;0.67;1.00
deepseek-chat;490.67;4289.60;2567.39;4609.67;2032.33;75.67;1.00;75.67;0.00;16.33;8.33;-8.00;-0.49;0.33;70.00;69.67;1.00;8.33;70.00;7.00;0.00;0.00;1.00
o4-mini;561.33;4271.64;18640.47;36508.67;8266.67;24.00;1.03;23.33;0.67;13.67;1.33;-12.33;-0.90;0.00;19.00;19.00;1.00;1.33;19.00;8.67;0.00;0.67;3.00
gemini-2.5-flash;485.00;4291.38;792.84;3847.00;410.00;99.33;1.00;99.33;0.00;23.33;15.00;-8.33;-0.36;4.00;90.00;86.00;0.96;15.00;90.00;7.00;0.00;1.00;0.33
